Membership No  Date Joined  Active  
    11232      2017-4-20    yes   
    55109      2020-4-21    yes   
    40526      2019-1-2     yes   
    24318      2015-8-22    yes   
    81971      2019-2-1     yes   
    66915      2018-1-14    yes   
    33076      2020-10-16   yes   
    53246      2015-9-5     yes   
    69002      2016-10-21   yes   
    56964      2017-3-10    yes   
    82154      2016-10-6    yes   
    56983      2020-2-12    yes   
    75144      2016-6-17    yes   
    85133      2019-11-4    yes   
    53451      2019-2-5     yes   
